IP:PORT, LOSS, DELAY
162.159.192.183:988,0.00%,268 ms
188.114.96.200:8886,0.00%,288 ms
188.114.99.126:988,0.00%,290 ms
162.159.192.207:8886,0.00%,300 ms
188.114.96.233:8886,0.00%,330 ms
162.159.195.52:8886,0.00%,354 ms
162.159.192.235:8886,0.00%,399 ms
162.159.195.104:988,0.00%,415 ms
162.159.195.177:988,0.00%,492 ms
162.159.192.42:988,0.00%,497 ms
188.114.98.117:8886,0.00%,505 ms
162.159.192.67:8886,0.00%,506 ms
188.114.97.120:988,0.00%,510 ms
188.114.97.122:8886,0.00%,535 ms
188.114.99.77:988,0.00%,535 ms
162.159.192.42:8886,0.00%,540 ms
188.114.98.120:988,0.00%,546 ms
162.159.195.190:8886,0.00%,549 ms
188.114.97.89:8886,0.00%,550 ms
188.114.97.172:8886,0.00%,553 ms
188.114.99.8:8886,0.00%,560 ms
188.114.97.77:8886,0.00%,560 ms
188.114.98.133:8886,0.00%,564 ms
188.114.98.86:988,0.00%,571 ms
188.114.97.122:988,0.00%,578 ms
188.114.98.47:8886,0.00%,579 ms
188.114.97.95:988,0.00%,585 ms
188.114.98.47:988,0.00%,585 ms
162.159.195.219:8886,0.00%,590 ms
162.159.192.46:8886,0.00%,594 ms
188.114.97.7:8886,0.00%,601 ms
188.114.96.159:8886,0.00%,612 ms
